the_geom,STREETNAME,TYPE,CNN,FROM_ST,TO_ST,FACILITY_T,YEAR_INSTA,DIRECT,SHAPE_LENG,SURFACE_TR,BARRIER,INNOVATIVE,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,SHARROW,UPDATE_YR,SM_SWEEPER,CONTRAFLOW,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,SHAPE_LEN
"LINESTRING (-122.43119111978126 37.767595240986076, -122.43111448842147 37.76679619881558)",SANCHEZ,ST,11508000,14TH ST,HENRY ST,BIKE ROUTE,2010,2W,291.78977607,,,,,,1,0,0,Sanchez St,0.06,47,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,291.78977608
"LINESTRING (-122.43088215296261 37.76437351049967, -122.43072672335458 37.76275267034879)",SANCHEZ,ST,11512000,16TH ST,17TH ST,BIKE ROUTE,0,2W,591.88884632,,,,,,1,0,0,Sanchez St,0.11,30,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,591.888846306
"LINESTRING (-122.43008145403083 37.76766211979471, -122.43119111978126 37.767595240986076)",14TH,ST,597000,BELCHER ST,SANCHEZ ST,BIKE ROUTE,2004,2W,321.67209498,,,,,,1,0,0,14th St,0.06,49,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,321.672094977
"LINESTRING (-122.43645426590383 37.75275957294512, -122.4374935880143 37.7526970013913)",23RD,ST,1284000,DIAMOND ST,EUREKA ST,BIKE ROUTE,2010,2W,301.33895414,,,,,,1,0,0,23rd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,301.338954134
"LINESTRING (-122.44131985410795 37.75620180574058, -122.44151806468021 37.756145950572055, -122.44178320043633 37.75604895010709, -122.4424089108717 37.755774424417616, -122.44293058412805 37.755478990662446)",ROMAIN,ST,11132000,START:EAST,CORBETT AV,BIKE ROUTE,2012,2W,537.11972744,,,,,,1,0,0,Romain St,0.1,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,537.119727427
"LINESTRING (-122.43886431196631 37.75543363795609, -122.43897380064358 37.75538899606654, -122.43964704300375 37.75531976802786, -122.4400325648615 37.755228801076136)",21ST,ST,1128000,DOUGLASS ST,WORTH ST,BIKE ROUTE,2012,2W,348.11264041,,,,,,1,0,0,21st St,0.07,50,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,348.112640411
"LINESTRING (-122.44327613333999 37.75623377239941, -122.44318801861546 37.75603880687857)",CORBETT,AVE,4387000,GRAYSTONE TERR,GLENDALE ST,BIKE ROUTE,2010,2W,75.42281261,,,,,,1,0,0,Corbett Ave,0.01,50,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,75.4228126039
"LINESTRING (-122.44238712535254 37.754815836853055, -122.44241425700747 37.754616463175594, -122.44250114591935 37.754462406791916, -122.44301301279488 37.754013595035296)",CORBETT,AVE,4390000,MORGAN AL,DIXIE AL,BIKE ROUTE,2010,2W,354.94676186,,,,,,1,0,0,Corbett Ave,0.07,50,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,354.94676186
"LINESTRING (-122.44293058412805 37.755478990662446, -122.44278103916064 37.75540406145038, -122.44254618064627 37.75532496420229, -122.44240867164727 37.75521412510187, -122.44235274852561 37.755072573031704, -122.44238712535254 37.754815836853055)",CORBETT,AVE,4389000,ROMAIN ST,MORGAN AL,BIKE ROUTE,2010,2W,329.55237235,,,,,,1,0,0,Corbett Ave,0.06,50,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,329.552372356
"LINESTRING (-122.44318801861546 37.75603880687857, -122.44303385151863 37.755577491770055, -122.44293058412805 37.755478990662446)",CORBETT,AVE,4388000,GLENDALE ST,ROMAIN ST,BIKE ROUTE,2010,2W,220.45180273,,,,,,1,0,0,Corbett Ave,0.04,40,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,220.451802725
"LINESTRING (-122.41945454274028 37.78450084380055, -122.4195478538063 37.7849602595505)",POLK,ST,10558000,OLIVE ST,O FARRELL ST,BIKE LANE,2003,2W,169.44273201,,,,,,1,0,0,Polk St,0.03,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,169.442732008
"LINESTRING (-122.419638989339 37.785433036003255, -122.41973873478078 37.785892901048896)",POLK,ST,10560000,MYRTLE ST,GEARY ST,BIKE LANE,2003,2W,169.90976181,,,,,,1,0,0,Polk St,0.03,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,169.909761803
"LINESTRING (-122.42984920007346 37.7779192957187, -122.43157464230234 37.77769992526987)",FULTON,ST,5886001,WEBSTER ST,FILLMORE ST,BIKE LANE,1999,2W,505.02779994,,,,,,1,0,0,Fulton St,0.1,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,505.027799931
"LINESTRING (-122.43157464230234 37.77769992526987, -122.43321873820953 37.777490366392776)",FULTON,ST,5887000,FILLMORE ST,STEINER ST,BIKE LANE,2000,2W,481.25011754,,,,,,1,0,0,Fulton St,0.09,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.250117556
"LINESTRING (-122.43321873820953 37.777490366392776, -122.43486377206597 37.77728066449465)",FULTON,ST,5888000,STEINER ST,PIERCE ST,BIKE LANE,2006,2W,481.52734787,,,,,,1,0,0,Fulton St,0.09,50,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.527347869
"LINESTRING (-122.43486377206597 37.77728066449465, -122.43650723240583 37.777068080525666)",FULTON,ST,5889000,PIERCE ST,SCOTT ST,BIKE LANE,2004,2W,481.24735428,,,,,,1,0,0,Fulton St,0.09,50,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.247354273
"LINESTRING (-122.4210082285306 37.77378081208842, -122.42194124750726 37.773036050991806)",MARKET,ST,8757202,ROSE ST,HAIGHT ST,BIKE LANE,2005,2W,382.44126062,GREEN PAINT,SAFE-HIT POSTS,SEPARATED BIKEWAY,,,1,0,0,Market St,0.07,50,0,0,1,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,382.44126063
"LINESTRING (-122.42069877367182 37.7740078054887, -122.4210082285306 37.77378081208842)",MARKET,ST,8757201,FRANKLIN ST,ROSE ST,BIKE LANE,2000,2W,121.78309612,GREEN PAINT,SAFE-HIT POSTS,SEPARATED BIKEWAY,,,1,0,0,Market St,0.02,50,0,0,1,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,121.783096115
"LINESTRING (-122.41629170161177 37.77749384269705, -122.41750146266031 37.77654089362632)",MARKET,ST,8753201,LARKIN ST,POLK ST,BIKE LANE,2002,2W,492.59286066,GREEN PAINT,SAFE-HIT POSTS,SEPARATED BIKEWAY,,,1,0,0,Market St,0.09,50,0,0,1,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,492.592860657
